host_ID,host_species,village,grid,season,sex,mass,dist_village,pathogen,otu_Order,otu_Family,otu_Genus,sum_relative_reads,OTU_ID,pathogen_type
3321,Rattus rattus,Sarahandrano,secondary_forest,3,male,79.5,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.916244376423947,76,Protozoa
3346,Rattus rattus,Sarahandrano,secondary_forest,3,male,63,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.942839504732603,76,Protozoa
3350,Rattus rattus,Sarahandrano,secondary_forest,3,male,94,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
3356,Rattus rattus,Sarahandrano,secondary_forest,3,male,84,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.723056388750595,76,Protozoa
3400,Rattus rattus,Sarahandrano,agroforest,3,female,60.5,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.205837081963958,76,Protozoa
3414,Rattus rattus,Sarahandrano,agroforest,3,male,120,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.620137303045112,76,Protozoa
3442,Rattus rattus,Sarahandrano,village,3,female,103,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.802713714371619,76,Protozoa
3449,Rattus rattus,Sarahandrano,village,3,male,138,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.236799128032012,76,Protozoa
3564,Rattus rattus,Andatsakala,secondary_forest,1,male,118,2.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.600648473744451,76,Protozoa
3581,Rattus rattus,Andatsakala,semi-intact_forest,1,female,70,2.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.926961380453351,76,Protozoa
3591,Rattus rattus,Andatsakala,agroforest,1,female,82,1.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.542076487609137,76,Protozoa
3598,Rattus rattus,Andatsakala,agroforest,1,female,114,1.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.680933846153023,76,Protozoa
3621,Rattus rattus,Andatsakala,agroforest,1,female,90,1.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.378091860893096,76,Protozoa
3646,Rattus rattus,Andatsakala,village,1,female,97,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.823787808566303,76,Protozoa
3791,Rattus rattus,Andatsakala,village,2,female,128,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.697757826340205,76,Protozoa
3811,Rattus rattus,Andatsakala,flooded_rice,2,female,124,0.39,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.677404268191666,76,Protozoa
3822,Rattus rattus,Andatsakala,flooded_rice,2,female,125,0.39,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.955808080490286,76,Protozoa
3975,Rattus rattus,Andatsakala,village,3,male,118,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.632568862420346,76,Protozoa
3987,Rattus rattus,Andatsakala,village,3,male,82,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
3825,Rattus rattus,Andatsakala,flooded_rice,2,male,108,0.39,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
2516,Rattus rattus,Mandena,brushy_regrowth,3,female,99,2.21,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.272654377668451,76,Protozoa
3271,Rattus rattus,Sarahandrano,agriculture,3,male,123,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
3214,Rattus rattus,Sarahandrano,brushy_regrowth,3,female,72,0.72,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.07040395478471,76,Protozoa
2927,Rattus rattus,Sarahandrano,agroforest,1,female,141,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.12254902065855,76,Protozoa
3390,Rattus rattus,Sarahandrano,agroforest,3,male,86,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0774880652960641,76,Protozoa
2314,Rattus rattus,Mandena,agriculture,2,female,83,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
2095,Rattus rattus,Mandena,agriculture,1,male,70,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.912912915209444,76,Protozoa
2228,Rattus rattus,Mandena,agroforest,1,female,97,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.227539707419087,76,Protozoa
3021,Rattus rattus,Sarahandrano,agroforest,2,female,128,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.683777542594095,76,Protozoa
2614,Rattus rattus,Mandena,flooded_rice,3,female,32,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.893395552841679,76,Protozoa
2464,Rattus rattus,Mandena,agroforest,2,female,170,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0718989440846763,76,Protozoa
3481,Rattus rattus,Sarahandrano,village,3,female,61.5,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.469471187371147,76,Protozoa
2153,Rattus rattus,Mandena,flooded_rice,1,male,95,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.529166656966146,76,Protozoa
3251,Rattus rattus,Sarahandrano,agriculture,3,male,102,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
2830,Rattus rattus,Sarahandrano,agriculture,1,female,128,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.242911669203833,76,Protozoa
2479,Rattus rattus,Mandena,village,2,male,120,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0246464575142463,76,Protozoa
2436,Rattus rattus,Mandena,flooded_rice,2,male,146,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.612522130156646,76,Protozoa
2738,Rattus rattus,Mandena,village,3,male,88,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.505471489822469,76,Protozoa
2747,Rattus rattus,Mandena,agroforest,3,male,132,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.940559442960829,76,Protozoa
3821,Rattus rattus,Andatsakala,village,2,male,88,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.393424968622648,76,Protozoa
